scene,building_id,area_m2,z_ground_m,z_roof_m,height_m,centroid_x,centroid_z,classification
SV_NewYork_40.7333_-73.9835.tif,4,433.2,63.5,93.85,30.34,-81.1,-56.9,REAL_BUILDING
SV_NewYork_40.7333_-73.9835.tif,5,1613.2,67.66,96.29,28.63,-42.74,-42.31,REAL_BUILDING
SV_NewYork_40.7333_-73.9835.tif,6,761.2,66.18,104.28,38.1,50.13,-18.48,REAL_BUILDING
SV_NewYork_40.7333_-73.9835.tif,7,1760.8,63.66,105.47,41.81,-112.57,28.2,REAL_BUILDING
SV_NewYork_40.7333_-73.9835.tif,8,1148.2,71.49,110.52,39.03,106.98,22.42,REAL_BUILDING
SV_NewYork_40.7333_-73.9835.tif,9,523.0,65.13,86.82,21.69,-70.36,18.64,REAL_BUILDING
SV_NewYork_40.7333_-73.9835.tif,10,1697.0,67.09,105.4,38.31,18.0,38.92,REAL_BUILDING
SV_NewYork_40.7333_-73.9835.tif,11,1961.5,64.71,88.51,23.79,-85.89,66.17,REAL_BUILDING
SV_NewYork_40.7333_-73.9835.tif,12,1120.2,69.1,90.9,21.79,-101.37,116.67,REAL_BUILDING
SV_NewYork_40.7333_-73.9835.tif,13,12.0,61.39,63.79,2.4,109.75,-91.75,REAL_BUILDING
SV_NewYork_40.7333_-73.9835.tif,14,54.0,61.97,64.56,2.59,122.73,-87.01,REAL_BUILDING
SV_NewYork_40.7333_-73.9835.tif,15,9.0,60.05,62.58,2.53,31.14,-65.19,REAL_BUILDING
SV_NewYork_40.7333_-73.9835.tif,16,1035.0,64.95,91.74,26.78,117.21,-33.32,REAL_BUILDING
SV_NewYork_40.7333_-73.9835.tif,17,7.0,64.28,65.78,1.5,92.25,-30.75,REAL_BUILDING
SV_NewYork_40.7333_-73.9835.tif,18,30.0,64.52,66.53,2.02,-35.82,39.12,REAL_BUILDING
SV_NewYork_40.7335_-74.0053.tif,1,330.5,55.66,70.86,15.2,-46.09,-122.15,REAL_BUILDING
SV_NewYork_40.7335_-74.0053.tif,2,1994.8,62.89,102.16,39.27,107.46,-87.03,REAL_BUILDING
SV_NewYork_40.7335_-74.0053.tif,3,506.0,62.43,79.66,17.23,53.76,-55.29,REAL_BUILDING
SV_NewYork_40.7335_-74.0053.tif,4,1470.0,73.0,98.47,25.47,112.89,-18.55,REAL_BUILDING
SV_NewYork_40.7335_-74.0053.tif,5,589.0,74.62,95.05,20.44,118.04,46.07,REAL_BUILDING
SV_NewYork_40.7335_-74.0053.tif,6,1116.2,68.36,86.44,18.08,22.1,47.3,REAL_BUILDING
SV_NewYork_40.7335_-74.0053.tif,7,3534.8,74.0,95.44,21.44,93.14,100.17,REAL_BUILDING
SV_NewYork_40.7335_-74.0053.tif,8,32.8,68.37,87.13,18.76,-126.17,109.75,REAL_BUILDING
SV_NewYork_40.7335_-74.0053.tif,9,1582.2,69.28,93.07,23.79,-11.77,117.89,REAL_BUILDING
SV_NewYork_40.7335_-74.0053.tif,10,1018.0,59.42,84.65,25.22,-120.63,-68.64,REAL_BUILDING
SV_NewYork_40.7335_-74.0053.tif,11,211.0,58.78,72.9,14.13,-52.27,-88.74,REAL_BUILDING
SV_NewYork_40.7335_-74.0053.tif,12,77.0,59.96,73.7,13.74,-85.76,-77.35,REAL_BUILDING
SV_NewYork_40.7335_-74.0053.tif,13,6.0,59.96,73.26,13.3,-73.75,-81.25,REAL_BUILDING
SV_NewYork_40.7335_-74.0053.tif,14,21.0,61.33,64.62,3.29,0.11,-69.27,REAL_BUILDING
SV_NewYork_40.7335_-74.0053.tif,15,87.0,60.04,69.76,9.72,-96.61,-63.52,REAL_BUILDING
SV_NewYork_40.7335_-74.0053.tif,16,499.0,60.84,76.3,15.47,-51.64,-38.91,REAL_BUILDING
SV_NewYork_40.7335_-74.0053.tif,17,2904.0,65.13,76.74,11.61,-96.11,7.54,REAL_BUILDING
SV_NewYork_40.7335_-74.0053.tif,18,4.0,65.52,71.75,6.23,-47.25,7.75,REAL_BUILDING
SV_NewYork_40.7335_-74.0053.tif,19,10.0,72.09,79.28,7.19,37.75,20.25,REAL_BUILDING
SV_NewYork_40.7335_-74.0053.tif,20,4.0,68.61,74.12,5.51,-45.25,74.75,REAL_BUILDING
