scene,component_id,pixel_area,area_m2,bbox_width,bbox_height,bbox_area,aspect_ratio,centroid_x,centroid_y,mean_height_m,median_height_m,P75_height_m,P95_height_m,max_height_m
SV_NewYork_40.7401_-73.9915.tif,19,4,1.0,2,2,4,1.0,416.5,374.5,11.86,11.86,12.15,12.25,12.28
SV_NewYork_40.7401_-73.9915.tif,20,20,5.0,4,6,24,0.67,93.7,378.9,32.99,32.88,34.19,36.44,36.55
SV_NewYork_40.7401_-73.9915.tif,21,1156,289.0,46,46,2116,1.0,289.6,400.9,15.06,14.51,17.75,21.08,22.23
SV_NewYork_40.7401_-73.9915.tif,22,232,58.0,20,24,480,0.83,143.4,403.6,26.97,27.28,29.45,31.17,32.26
SV_NewYork_40.7401_-73.9915.tif,23,3136,784.0,84,66,5544,1.27,197.0,431.7,19.08,19.17,23.28,28.53,39.72
SV_NewYork_40.7401_-73.9915.tif,24,12,3.0,6,2,12,3.0,50.5,404.5,4.01,4.02,4.28,4.49,4.59
SV_NewYork_40.7401_-73.9915.tif,25,76,19.0,10,10,100,1.0,356.9,420.5,12.84,12.82,14.08,15.21,15.93
SV_NewYork_40.7401_-73.9915.tif,26,84,21.0,12,10,120,1.2,337.9,430.8,20.84,20.87,21.47,21.93,22.19
SV_NewYork_40.7401_-73.9915.tif,27,44,11.0,8,8,64,1.0,349.4,433.2,19.46,19.51,20.02,20.47,20.67
SV_NewYork_40.7401_-73.9915.tif,28,120,30.0,14,12,168,1.17,340.5,449.5,13.71,13.72,15.3,16.83,17.6
SV_NewYork_40.7333_-73.9835.tif,1,171800,42950.0,512,512,262144,1.0,228.0,274.3,22.34,19.82,26.25,37.41,55.22
SV_NewYork_40.7333_-73.9835.tif,2,8,2.0,4,2,8,2.0,73.5,2.5,7.96,7.96,8.0,8.03,8.04
SV_NewYork_40.7333_-73.9835.tif,3,4,1.0,2,2,4,1.0,386.5,38.5,0.0,0.0,0.0,0.0,0.0
SV_NewYork_40.7333_-73.9835.tif,4,12,3.0,2,6,12,0.33,76.5,56.5,21.42,21.4,21.67,21.99,22.08
SV_NewYork_40.7333_-73.9835.tif,5,60,15.0,12,8,96,1.5,475.3,72.9,2.79,2.79,2.79,2.79,2.79
SV_NewYork_40.7333_-73.9835.tif,6,220,55.0,12,24,288,0.5,501.5,81.8,2.53,2.53,2.54,2.56,2.57
SV_NewYork_40.7333_-73.9835.tif,7,4,1.0,2,2,4,1.0,352.5,100.5,0.03,0.03,0.04,0.05,0.05
SV_NewYork_40.7333_-73.9835.tif,8,40,10.0,6,10,60,0.6,318.5,126.1,3.3,3.3,3.3,3.3,3.3
SV_NewYork_40.7333_-73.9835.tif,9,4152,1038.0,54,126,6804,0.43,490.4,189.3,19.24,17.65,26.4,33.82,35.26
SV_NewYork_40.7333_-73.9835.tif,10,28,7.0,6,6,36,1.0,440.5,194.5,1.92,1.92,1.92,1.92,1.92
SV_NewYork_40.7333_-73.9835.tif,11,120,30.0,14,14,196,1.0,184.4,334.2,1.91,1.89,1.95,2.0,2.03
SV_NewYork_40.7335_-74.0053.tif,1,158872,39718.0,512,512,262144,1.0,304.2,276.2,17.34,16.37,18.93,24.58,45.52
SV_NewYork_40.7335_-74.0053.tif,2,8,2.0,4,2,8,2.0,343.5,10.5,8.37,8.36,8.43,8.49,8.49
SV_NewYork_40.7335_-74.0053.tif,3,864,216.0,38,46,1748,0.83,151.8,78.8,12.56,12.67,14.55,16.37,17.99
SV_NewYork_40.7335_-74.0053.tif,4,4,1.0,2,2,4,1.0,102.5,88.5,9.13,9.13,9.29,9.34,9.35
SV_NewYork_40.7335_-74.0053.tif,5,320,80.0,30,24,720,1.25,84.8,101.2,12.25,12.22,14.18,15.8,16.62
SV_NewYork_40.7335_-74.0053.tif,6,24,6.0,6,4,24,1.5,108.5,93.5,14.16,14.16,14.52,15.05,15.29
SV_NewYork_40.7335_-74.0053.tif,7,92,23.0,18,8,144,2.25,256.2,117.5,3.64,3.62,3.74,3.98,4.1
SV_NewYork_40.7335_-74.0053.tif,8,352,88.0,24,24,576,1.0,62.8,128.8,9.07,9.2,9.76,10.16,10.29
SV_NewYork_40.7335_-74.0053.tif,9,4,1.0,2,2,4,1.0,40.5,138.5,6.55,6.55,6.59,6.59,6.59
SV_NewYork_40.7335_-74.0053.tif,10,2000,500.0,78,68,5304,1.15,152.7,178.1,12.17,12.27,14.58,16.67,18.49
SV_NewYork_40.7335_-74.0053.tif,11,11696,2924.0,212,152,32224,1.39,64.3,271.0,9.49,9.15,11.22,14.77,17.86
SV_NewYork_40.7335_-74.0053.tif,12,40,10.0,8,6,48,1.33,331.5,296.5,6.9,6.91,7.38,7.95,8.06
SV_NewYork_40.7335_-74.0053.tif,13,28,7.0,8,6,48,1.33,165.4,406.2,6.01,6.02,6.16,6.32,6.36
